size,throughput
16,4.80e-01
10256,3.07e-02
20496,2.74e-02
30736,2.62e-02
40976,1.73e-02
51216,1.67e-02
61456,1.67e-02
71696,1.96e-02
81936,2.29e-02
92176,2.80e-02
